split,TurbID,node_index,horizon,Score,MAE,RMSE,valid_target_count,reference_val_score_h10,reference_val_rank_desc,hard_turbine_threshold_val_score_h10,is_top10pct_hard_turbine,hard_group_rule
val,41,40,6,0.22745434941670697,226.5139779437526,323.77688390266104,6363,0.23006936152901158,58,0.2609385788627858,False,top_14_by_validation_H10_Score
val,41,40,10,0.23006936152901158,228.73330648470503,327.5311733724477,10598,0.23006936152901158,58,0.2609385788627858,False,top_14_by_validation_H10_Score
val,42,41,3,0.21770932257833803,216.4633016351499,310.4599625825503,3241,0.22361445257610485,75,0.2609385788627858,False,top_14_by_validation_H10_Score
val,42,41,6,0.22077592782311875,218.14716370393188,313.20094072058146,6479,0.22361445257610485,75,0.2609385788627858,False,top_14_by_validation_H10_Score
val,42,41,10,0.22361445257610485,220.37715583209683,316.83247255100446,10788,0.22361445257610485,75,0.2609385788627858,False,top_14_by_validation_H10_Score
val,43,42,3,0.22529115387634807,223.99169860070901,317.6997659361991,3233,0.2311426964561417,55,0.2609385788627858,False,top_14_by_validation_H10_Score
val,43,42,6,0.22804723888534367,225.81510786444488,320.57470099967696,6463,0.2311426964561417,55,0.2609385788627858,False,top_14_by_validation_H10_Score
val,43,42,10,0.2311426964561417,228.20770084306918,324.30300818790835,10763,0.2311426964561417,55,0.2609385788627858,False,top_14_by_validation_H10_Score
val,44,43,3,0.22944295051182703,227.64714597885174,320.25495753082686,3218,0.23645876294799606,46,0.2609385788627858,False,top_14_by_validation_H10_Score
val,44,43,6,0.2330754106937537,229.6192169774659,323.2622546841773,6433,0.23645876294799606,46,0.2609385788627858,False,top_14_by_validation_H10_Score
val,44,43,10,0.23645876294799606,232.1329889249076,327.1318926085999,10712,0.23645876294799606,46,0.2609385788627858,False,top_14_by_validation_H10_Score
val,45,44,3,0.25099862877394974,248.42692524587048,344.11420393276114,3217,0.2554429986150545,21,0.2609385788627858,False,top_14_by_validation_H10_Score
val,45,44,6,0.2538350014064339,250.7159336898583,347.22304703055806,6431,0.2554429986150545,21,0.2609385788627858,False,top_14_by_validation_H10_Score
val,45,44,10,0.2554429986150545,253.50413113279228,351.17514756218446,10709,0.2554429986150545,21,0.2609385788627858,False,top_14_by_validation_H10_Score
val,46,45,3,0.24047167744512876,238.18219048823258,333.2222926015118,3220,0.24543407925714755,34,0.2609385788627858,False,top_14_by_validation_H10_Score
